img_urls,titles,ratings,authors,details
https://img3.doubanio.com/mpic/s29385675.jpg,青年斯大林,评价人数不足,[英]西蒙·蒙蒂菲奥里/浦睿文化·民主建设出版社/2017-3,《耶路撒冷三千年》的作者蒙蒂菲奥里历时10年，重述斯大林如何从鞋匠的儿子，最终成为列宁的左右手这一鲜为人知的成长历程。
https://img5.doubanio.com/mpic/s29359446.jpg,食帖15：便当灵感集,9.1,林江/中信出版集团股份有限公司/2017-2,《食帖》系列第15辑《便当灵感集》，20位便当生活家经验分享，一本每日便当生活必备灵感全书。
https://img3.doubanio.com/mpic/s29376053.jpg,中国1945,评价人数不足,[美]理查德·伯恩斯坦(RichardBernstein)/社会科学文献出版社/2017-3-1,作者理查德·伯恩斯坦用引人入胜的笔调，描述了1945年这个美国与中国关系的转折之年，挑战了现代中美关系起源的传统观点。
https://img3.doubanio.com/mpic/s29370575.jpg,极简进步史,评价人数不足,[英]罗纳德·赖特/北京时代华文书局/2017-4-1,英国非虚构类创作大师罗纳德·赖特经典作品，对人类社会、文明、历史、科技、环境等多方面展开反思。
https://img3.doubanio.com/mpic/s29287315.jpg,贩卖音乐,9.4,[美]大卫·伊斯曼/世界图书出版公司/2017-3-1,作者大卫·伊斯曼用通俗易懂的文字，讲述了美国镀金时代与进步时代音乐产业的起源、发展和变革等历史。
https://img3.doubanio.com/mpic/s29398110.jpg,信仰与观看,评价人数不足,[法]罗兰·雷希特(RolandRecht)/北京大学出版社/2017-2-17,法国著名艺术史家罗兰·雷希特就哥特式大教堂艺术提出全新定义，为理解大教堂空间打开了崭新的维度。
https://img3.doubanio.com/mpic/s29343324.jpg,庇护二世闻见录,评价人数不足,[意]皮科洛米尼/浙江大学出版社·启真馆/2017-2,《闻见录》是文艺复兴时期最伟大的教皇之一庇护二世（皮科洛米尼）的杰作，生动描写了一段典型的文艺复兴时期的经历。
https://img3.doubanio.com/mpic/s29383791.jpg,何故为敌,评价人数不足,[德]李峻石（GüntherSchlee）/社会科学文献出版社/2017-3,德国著名民族学家李峻石从民族学研究中的身份认同问题出发，以欧洲、非洲的个案作为切入点，建构新的冲突理论。
https://img3.doubanio.com/mpic/s29331664.jpg,共享经济没有告诉你的事,8.2,[加]汤姆·斯利（TomSlee）/后浪丨江西人民出版社/2017-3,作者汤姆·斯利从与众不同的角度，揭开共享经济鲜为人知的阴暗面，起底共享经济不为人知的行业内幕。
https://img3.doubanio.com/mpic/s29404793.jpg,私人生活的变革,评价人数不足,阎云翔/世纪文景/上海人民出版社/2017-3,美国亚洲学会中国研究列文森图书大奖获奖作品，探讨了农民家庭生活中的个体性与情感生活这一从未被讨论过的议题。
https://img1.doubanio.com/mpic/s29244537.jpg,石挥谈艺录：把生命交给舞台,8.4,石挥/后浪丨北京联合出版公司/2017-2,「话剧皇帝」石挥迄今为止最完整的著述辑录，从侧面完整呈现了中国话剧的历史演进。
https://img1.doubanio.com/mpic/s29189179.jpg,托克维尔,9.1,[法]吕西安·若姆（LucienJaume）/三辉图书/漓江出版社/2017-2,围绕「托克维尔为什么写作《论美国的民主》」这一问题，剖析了托克维尔作为社会学家、道德家以及文学家的不同侧面。
https://img3.doubanio.com/mpic/s29402102.jpg,几乎消失的偷闲艺术,评价人数不足,[加拿大]达尼·拉费里埃/海天出版社/2017-4,加拿大作家达尼·拉费里埃关于慢生活的一本美文集。几乎被人忘却的偷闲艺术，就是生活的艺术。
https://img3.doubanio.com/mpic/s29373842.jpg,青苔不会消失,9.4,袁凌/中信出版集团/中信大方/2017-4,精选了袁凌十多年来记者生涯中最为杰出的十二篇非虚构作品，写出了一百位中国社会底层的人物故事。
https://img1.doubanio.com/mpic/s29364988.jpg,鲍勃·迪伦：诗人之歌,9.2,[法]让-多米尼克·布里埃/湖南文艺出版社·读行者品牌/2017-4,基于鲍勃·迪伦从1962年到2015年的作品及访谈，作者让-多米尼克·布里埃重新勾勒了鲍勃·迪伦的传奇一生。
